input,output
"The study reviewed health records from more than 16 million individuals registered in Japan's national health system. Of these, over 6 million had confirmed COVID-19 diagnoses between January 2020 and December 2022. After careful matching based on age, sex, and comorbid conditions, researchers selected 3,098,948 individuals who had COVID-19 and paired them with the same number of individuals who never had the virus.Over a median follow-up period of 7 months, 286 individuals in the COVID-19 group underwent amputations, compared to only 123 in the non-infected group. This translated to a more than twofold increase in amputation risk (Incidence Rate Ratio or IRR: 2.33; 95% CI: 1.88-2.90).","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): not applicable as it's an incidence rate ratio (IRR)
   Absolute number (base case): 16,000,000
   Absolute number (new case): 3,098,948 (COVID-19 group) and 3,098,948 (non-infected group)
   Absolute risk difference: not applicable as it's an incidence rate ratio (IRR)
   Relative risk: Incidence Rate Ratio (IRR): 2.33; 95% CI: 1.88-2.90
   Absolute number difference: 163 more amputations in the COVID-19 group
   Verbal risk descriptor (base case): not applicable as it's a quantitative data
   Verbal risk descriptor (new situation): not applicable as it's a quantitative data
   Verbal risk descriptor (change from base to new): more than twofold increase in amputation risk
   Reference class size (base case: absolute number): 16,000,000
   Reference class size (new case: absolute number): 3,098,948 (for both COVID-19 group and non-infected group)
   Reference class description (base case): not applicable as it's a quantitative data
   Reference class description (new case): individuals registered in Japan's national health system
   Population (übergeordnete Grundgesamtheit): individuals registered in Japan's national health system
   Source (base case): null
   Source (new situation): study
   Topic and unit: amputation risk, no specific time mentioned"
"Dr. Lisa Saul, chief medical officer for women's health at UnitedHealthcare, said heavy drinking among women has surged by 41% since the pandemic, heightening the risk of cancer.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: 41%
   Relative risk: 41% increase
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): heightened
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): women
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): Dr. Lisa Saul, chief medical officer for women's health at UnitedHealthcare
   Topic and unit: cancer risk among women"
"Nationally, there are believed to be over 1.3 million Haredi Jews in Israel, making up 14% of the population, according to an IDI study published last year. That proportion is expected to rise as time goes on due to high birth rates in the community, meaning ex-ultra-Orthodox will make up an increasingly significant slice of Israeli society if current trends continue.","Risk communication: 0
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 1300000
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): 1300000
   Reference class size (new case: absolute number): null
   Reference class description (base case): Haredi Jews in Israel
   Reference class description (new case): ex-ultra-Orthodox in Israeli society
   Population (übergeordnete Grundgesamtheit): Israeli population
   Source (base case): IDI study
   Source (new situation): null
   Topic and unit: proportion of Haredi Jews in the Israeli population, percentage"
"Coronavirus is still claiming the lives of hundreds of Americans each week. According to official data released by the Centers for Disease Control and Prevention (CDC), 350 Americans, mostly from high-risk groups, died from COVID-19 last week. Though this number is a significant drop from the peak of 25,974 reported in the week ending Jan 9, 2021, the concern remains. ","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): 350
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: -350
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): mostly from high-risk groups
   Verbal risk descriptor (change from base to new): significant drop
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): 1 week
   Reference class description (base case): null
   Reference class description (new case): Americans
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): Centers for Disease Control and Prevention (CDC)
   Topic and unit: deaths from COVID-19 per week"
"The study⁤ also indicated that excessive exposure to UV radiation accounts for 87% of melanoma cases, or 17,100 cases in the UK annually. ","Risk communication: 1
   Absolute risk (base case): 87%
   Absolute risk (new case): null
   Absolute number (base case): 17100
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): high risk
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): UK population
   Source (base case): study
   Source (new situation): study
   Topic and unit: melanoma cases, annual basis"
"Despite the existence of the Code, a major study [https://www.who.int/news/item/22-02-2022-more-than-half-of-parents-and-pregnant-women-exposed-to-aggressive-formula-milk-marketing-who-unicef] from WHO and UNICEF found that over half of new parents had been exposed to promotions from formula milk companies.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): parents and pregnant women
   Source (base case): WHO and UNICEF
   Source (new situation): WHO and UNICEF
   Topic and unit: exposure to promotions from formula milk companies"
"With an estimated 1 in 10 medicines in low- and middle-income countries being substandard or falsified, and economic losses ranging from US$ 75 to 200 billion annually, the stakes are high. SF incidents nearly tripled between 2019 and 2023, exacerbated by online distribution, weak regulatory oversight and surveillance, and humanitarian crises.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 1 in 10
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: 200% increase between 2019 and 2023
   Absolute number difference: nearly tripled between 2019 and 2023
   Verbal risk descriptor (base case): substandard or falsified
   Verbal risk descriptor (new situation): high (implied by the increase)
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): low- and middle-income countries
   Reference class description (new case): not specified
   Population (übergeordnete Grundgesamtheit): global population of medicines in low- and middle-income countries
   Source (base case): null
   Source (new situation): not specified
   Topic and unit: prevalence of substandard or falsified medicines, economic losses in US dollars annually"
"Whistler emphasized that the measles vaccine is highly effective. CDC data found that one dose provided 93% immunity, and two doses provided 97% immunity.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case - single dose): 93%
   Absolute risk (new case - double dose): 97%
   Absolute number (base case): null
   Absolute number (new case - single dose): null
   Absolute number (new case - double dose): null
   Absolute risk difference: 4% (double dose vs single dose)
   Relative risk: 4% increase (single dose vs no vaccine), 3.7% increase (double dose vs single dose)
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation - single dose): ""high""
   Verbal risk descriptor (new situation - double dose): ""very high""
   Verbal risk descriptor (change from base to new): ""significantly higher""
   Reference class size (base case: absolute number): null
   Reference class size (new case - single dose: absolute number): not specified
   Reference class size (new case - double dose: absolute number): not specified
   Reference class description (base case): null
   Reference class description (new case - single dose): not specified
   Reference class description (new case - double dose): not specified
   Population (übergeordnete Grundgesamtheit): general population
   Source (base case): CDC
   Source (new situation): CDC
   Topic and unit: immunity against measles per person"
"Per a Research report, the U.S. handheld narcotics analyzer market was valued at $254.8 million in 2024 and is expected to grow at a compound annual rate of 3.8% through 2033. The growth is driven by the rising drug abuse concerns, strict law enforcement demands, and the rapid adoption of drug detection technologies in customs and healthcare sectors.","Risk communication: 0
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): market
   Source (base case): Research report
   Source (new situation): Research report
   Topic and unit: market value of handheld narcotics analyzers, compound annual growth rate through 2033"
" LendingTree reports that 76% of consumers who asked for lower interest rates on their credit cards in the past year received them, yet relatively few make the request.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 76%
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: 76%
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): consumers who asked for lower interest rates on their credit cards in the past year
   Reference class description (new case): consumers who asked for lower interest rates on their credit cards in the past year
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): LendingTree
   Source (new situation): LendingTree
   Topic and unit: probability of receiving lower interest rates on credit cards"
"MGI introduced the DNBelab C-YellowR 16, making its global debut, which enables the parallel processing of up to 16 single-cell samples, reducing hands-on time by up to 90% while maintaining high reproducibility and precision.","Risk communication: 0

   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): null
   Topic and unit: process efficiency of a laboratory instrument, not directly related to risk"
"Now, under Mayor Justin Bibb, we confront the sobering revelation that despite a 2019 lead-safe law requiring rental property certification, the crisis persists unabated. In fact, child lead poisoning cases increased by 5.5% between 2022 and 2023.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 5.5%
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: 5.5%
   Relative risk: 5.5% increase
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): ""increased""
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): general population or children in the city under Mayor Justin Bibb's administration
   Source (base case): null
   Source (new situation): unspecified
   Topic and unit: child lead poisoning cases per year"
" While progress has been made in understanding and managing the disease, SCD still represents a significant global health challenge, with projections indicating a concerning rise in affected newborns from 305,800 in 2010 to an estimated 404,200 by 2050. ","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 305800
   Absolute number (new case): 404200
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: 98620
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): significant increase
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): 305800
   Reference class size (new case: absolute number): 404200
   Reference class description (base case): null
   Reference class description (new case): global population of affected newborns
   Population (übergeordnete Grundgesamtheit): global population
   Source (base case): null
   Source (new situation): null
   Topic and unit: number of affected newborns with SCD, no time specified"
"The report suggests that one in four American men under 35 feel more isolated than their peers in other countries -- including France, Canada, Ireland and Spain. This demographic is also one of the loneliest of all in the US, with 25% of men in this age group saying they felt lonely a lot of the previous day -- significantly higher than the national average of 18% and the total for young women (also 18%).","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 25%
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: 7%
   Relative risk: 44.44% increase
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): significantly higher
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): American men under 35
   Reference class description (new case): American men under 35
   Population (übergeordnete Grundgesamtheit): American men under 35
   Source (base case): null
   Source (new situation): report
   Topic and unit: feeling isolated, percentage of individuals"
"AMD is to blame for nearly half of the cases of blindness in people older than 40 years. In 2019, an estimated 20 million people older than 40 years in the United States, or about 12.4% of the population, had AMD, of whom 1.5 million had late stages of the condition, when vision loss typically occurs.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): nearly half (49.95%)
   Absolute number (base case): null
   Absolute number (new case): 12.4% of the population in the United States (approximately 20 million people older than 40 years)
   Absolute risk difference: null
   Relative risk: nearly half (49.95%)
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): significant (12.4% of the population in the United States)
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): 330,000,000 (total population of the United States)
   Reference class description (base case): not specified
   Reference class description (new case): people older than 40 years in the United States
   Population (übergeordnete Grundgesamtheit): United States population
   Source (base case): null
   Source (new situation): null
   Topic and unit: risk of blindness due to AMD, percentage of population"
"In 2023, the Longitudinal Aging Study in India (LASI) and LASI-Diagnostic Assessment for Dementia reported that the prevalence of dementia in India among individuals aged 60 and older was 7.4%, with higher rates in women and rural regions. The study estimated that by 2036, the number of cases would quadruple, touching 1.7 crore.","Risk communication: 1
   Absolute risk (base case): 7.4%
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): 1.7 crore
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: 1.7 crore
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): significant increase
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): 60 and older population in India
   Reference class description (base case): null
   Reference class description (new case): individuals aged 60 and older in India
   Population (übergeordnete Grundgesamtheit): Indian population
   Source (base case): Longitudinal Aging Study in India (LASI) and LASI-Diagnostic Assessment for Dementia
   Source (new situation): null
   Topic and unit: dementia prevalence among individuals aged 60 and older in India per year"
"Among patients who are treated for the deadliest heart attacks, up to 1 in 10 go into cardiogenic shock, meaning their organs do not get enough blood and begin to fail.","Risk communication: 1
   Absolute risk (base case): 10%
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): ""up to 1 in 10""
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): ""patients who are treated for the deadliest heart attacks""
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): patients with heart attacks
   Source (base case): null
   Source (new situation): null
   Topic and unit: risk of cardiogenic shock among patients treated for deadliest heart attacks"
"In recent years, the microaxial flow pump has gained popularity as a treatment for STEMI-related cardiogenic shock, particularly considering data published in The New England Journal of Medicine in 2024 which showed that the heart pump treatment reduced mortality by over 26%.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 26%
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: 26%
   Relative risk: 26% reduction
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): significant reduction
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): patients with STEMI-related cardiogenic shock
   Reference class description (new case): patients with STEMI-related cardiogenic shock
   Population (übergeordnete Grundgesamtheit): patients with STEMI-related cardiogenic shock
   Source (base case): The New England Journal of Medicine in 2024
   Source (new situation): The New England Journal of Medicine in 2024
   Topic and unit: mortality rate for patients with STEMI-related cardiogenic shock"
Researchers are making progress in improving AI therapy services. Patients suffering from depression experienced an average 51% reduction in symptoms after participating in Dartmouth's Therabot experiment.,"Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: 51% reduction
   Relative risk: 51% reduction
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): symptoms of depression
   Verbal risk descriptor (change from base to new): significantly lower
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): patients suffering from depression participating in Dartmouth's Therabot experiment
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): Researchers
   Topic and unit: symptoms of depression in patients participating in AI therapy services"
"Researchers are making progress in improving AI therapy services. Patients suffering from depression experienced an average 51% reduction in symptoms after participating in Dartmouth's Therabot experiment. For those suffering from anxiety, there was an average 31% drop in symptoms.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case - depression): 51%
   Absolute risk (new case - anxiety): 31%
   Absolute number (base case): null
   Absolute number (new case - depression): null
   Absolute number (new case - anxiety): null
   Absolute risk difference (depression to baseline): 51%
   Absolute risk difference (anxiety to baseline): 31%
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation - depression): null
   Verbal risk descriptor (new situation - anxiety): null
   Reference class size (base case: absolute number): null
   Reference class size (new case - depression): null
   Reference class size (new case - anxiety): null
   Reference class description (base case): null
   Reference class description (new case - depression): patients suffering from depression
   Reference class description (new case - anxiety): patients suffering from anxiety
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation - depression): Researchers at Dartmouth
   Source (new situation - anxiety): Researchers at Dartmouth
   Topic and unit: reduction in symptoms of depression and anxiety"
