,Risk communication,Only one case (base case),Absolute risk (base case),Absolute risk (new case),Absolute number (base case),Absolute number (new case),Absolute risk difference,Relative risk difference,Absolute number difference,Verbal risk descriptor (base case),Verbal risk descriptor (new situation),Verbal risk descriptor (change from base to new),Population Size,Reference class size (base case: absolute number),Reference class size (new case: absolute number),Reference class description (base case),Reference class description (new case),Source (base case),Source (new situation),Topic and unit
"According to the study, 165 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/15 of them showed reduced function in the right side of the heart.",1,1,1/15,,,,,,,,,,,165,,critically ill COVID-19 patients on ventilators,,the study,,frequency of right heart dysfunction in ventilated COVID-19 patients
Basically Receiving a flu vaccine within the year prior to hospitalization lowered a person’s stroke risk to 9%.,1,0,,9%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Interestingly Receiving a flu vaccine in the past 12 months before being admitted lowered a person’s stroke risk to 8%.,1,0,,8%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Basically Receiving a flu vaccine in the year leading up to their hospital stay lowered a person’s stroke risk to 7%.,1,0,,7%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Interestingly  Receiving a flu vaccine in the previous year before hospitalization lowered a person’s stroke risk to 10%.,1,0,,10%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Getting the flu vaccine in the 12 months before hospitalization lowered a person’s stroke risk to 6%.,1,0,,6%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Receiving a flu vaccine during the exact year before they were admitted lowered a person’s stroke risk to 5%.,1,0,,5%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Receiving a flu vaccine within one year before being hospitalized lowered a person’s stroke risk to 12%.,1,0,,12%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Getting the flu vaccine in the year preceding hospital admission lowered stroke risk of a person to 13%.,1,0,,13%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Receiving  flu vaccine before they were hospitalized that year lowered the stroke risk of a person to 14%.,1,0,,14%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
Getting a flu vaccine in the exact year prior to going to the hospital lowered stroke risk of a person to 15%.,1,0,,15%,,,,,,,,lowered a person's stroke risk,,,,people who were not vaccinated against flu,people who received a flu vaccine within the year prior to hospitalization,,,risk of stroke in %
"The Nature Medicine study found a 45% increased likelihood of stroke one year after COVID-19 infection, or about 3 extra strokes per 1,000 people.",1,0,,,,,3/1000,45%,3,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The Nature Medicine study also found a 60% higher stroke incidence one year after COVID-19 infection, or about 5 extra strokes per 1,000 people.",1,0,,,,,5/1000,60%,5,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The study published in The Nature Medicine also found a 38% more cases of stroke one year after COVID-19 infection, or about 4 extra strokes per 1,000 people.",1,0,,,,,4/1000,38%,4,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The Nature Medicine study also found a 50% elevated stroke risk e one year after COVID-19 infection, or about 5 extra strokes per 1,000 people.",1,0,,,,,5/1000,50%,5,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The study fron The Nature Medicine also found a 41% rise in stroke rates one year after COVID-19 infection, or about 3 extra strokes per 1000 people.",1,0,,,,,3/1000,41%,3,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"A new study from The Nature Medicine also found a 55% greater stroke occurrence one year after COVID-19 infection, or about 4 extra strokes per 1,000 people.",1,0,,,,,4/1000,55%,4,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"A new study from The Nature Medicine also found a 62% added risk of stroke one year after COVID-19 infection, or about 5 extra strokes per 1,000 people.",1,0,,,,,5/1000,62%,5,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The Nature Medicine study found a 48% surge in stroke cases one year after COVID-19 infection, or about 4 extra strokes per 1,000 people.",1,0,,,,,4/1000,48%,4,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The Nature Medicine study interestingly found a 35% stroke risk increase one year after COVID-19 infection, or about 3 extra strokes per 1,000 people.",1,0,,,,,3/1000,35%,3,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"The study from Nature Medicine found a 67% extra stroke cases one year after COVID-19 infection, or about 6 extra strokes per 1,000 people.",1,0,,,,,6/1000,67%,6,,,increased risk,,,,People without a confirmed COVID-19 infection,"COVID-19 survivors, one year post-infection",The Nature Medicine study,The Nature Medicine study,Risk of stroke in %
"Compared to a control group of about 5,200,000 veterans without COVID-19, those who recovered from the disease were 40% more likely to had a higher risk of cardiovascular complications, which translated into approximately 32 additional cases per 1,000 people after one year.",1,0,,,,,32/1000,40%,32,,,,,5200000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 6,100,000 veterans without COVID-19, those who had recovered from the disease were 58% more likely to were more likely to suffer from heart-related conditions, which translated into approximately 41 additional cases per 1,000 people after one year.",1,0,,,,,41/1000,58%,41,,,,,6100000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 4,800,000 veterans without COVID-19, those who had recovered from the disease were 70% more likely to faced a greater chance of cardiovascular problems, which translated into approximately 53 additional cases per 1,000 people after one year.",1,0,,,,,53/1000,70%,53,,,,,4800000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 5,700,000 veterans without COVID-19, those who had recovered from the disease were 49% more likely to were at elevated risk for cardiac problems, which translated into approximately 38 additional cases per 1,000 people after one single year.",1,0,,,,,38/1000,49%,38,,,,,5700000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 5,000,000 veterans without COVID-19, those who had recovered from the disease were 62% more likely to show an increased incidence of cardiovascular disease, which translated into approximately 47 additional cases per 1,000 people after one year.",1,0,,,,,47/1000,62%,47,,,,,5000000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 5,300,000 veterans without COVID-19, those who had also recovered from the disease were 36% more likely to had more frequent occurrences of heart problems, which translated into approximately 29 additional cases per 1,000 people after one year.",1,0,,,,,29/1000,36%,29,,,,,5300000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of roughly 6,000,000 veterans without COVID-19, those who had recovered from the disease were 55% more likely to were found to have a higher rate of cardiovascular complications, which translated into approximately 39 additional cases per 1,000 people after one year.",1,0,,,,,39/1000,55%,39,,,,,6000000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a comparison group of about 5,900,000 veterans without COVID-19, those who had recovered from the disease were 68% more likely to were increasingly diagnosed with heart issues, which translated into approximately 51 additional cases per 1,000 people after one year.",1,0,,,,,51/1000,68%,51,,,,,5900000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 5,400,000 veterans without COVID-19, those who had recovered from the disease were 45% more likely to had a heightened likelihood of cardiac events, which translated into 35 additional cases per 1,000 people after one year.",1,0,,,,,35/1000,45%,35,,,,,5400000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Compared to a control group of about 6,200,000 veterans without COVID-19, those who had recovered from the disease were 52% more likely to showed more cases of circulatory system disease, which translated into roughly 42 additional cases per 1,000 people after one year.",1,0,,,,,42/1000,52%,42,,,,,6200000,,U.S. veterans without COVID-19 infection,U.S. veterans one year after a confirmed COVID-19 infection,,,Risk of cardiovascular issue in %
"Males ages 15–18 were at elevated risk, with 7/100000 individuals per 100,000 developing myocarditis.",1,1,7/100000,,,,,,,elevated risk,,,,,,males ages 15–18,,,,Risk of myocarditis per 100000 males ages 15–18 
"Male People ages 17–20 were at increased risk, with 5/100000 individuals per 100,000 developing myocarditis.",1,1,5/100000,,,,,,,increased risk,,,,,,males ages 17–20,,,,Risk of myocarditis per 100000 males ages 17–20
"Men ages 14–17 were at heightened likelihood, with 9/100000 individuals per 100,000 developing myocarditis.",1,1,9/100000,,,,,,,heightened likelihood,,,,,,males ages 14–17,,,,Risk of myocarditis per 100000 males ages 14–17
"Males ages 18–21 were at above-average risk, with 4/100000 individuals per 100,000 developing myocarditis.",1,1,4/100000,,,,,,,above-average risk,,,,,,males ages 18–21,,,,Risk of myocarditis per 100000 males ages 18–21
"Males ages 13–16 were at notably high risk, with 10/100000 individuals per 100,000 developing myocarditis.",1,1,10/100000,,,,,,,notably high risk,,,,,,males ages 13–16,,,,Risk of myocarditis per 100000 males ages 13–16
"Male People ages 16–19 were at the highest observed rate, with 6/100000 individuals per 100,000 developing myocarditis.",1,1,6/100000,,,,,,,the highest observed rate,,,,,,males ages 16–19,,,,Risk of myocarditis per 100000 males ages 16–19
"Men ages 15–19 were at strongest risk, with 8/100000 individuals per 100,000 developing myocarditis.",1,1,8/100000,,,,,,,strongest risk,,,,,,males ages 15–19,,,,Risk of myocarditis per 100000 males ages 15–19
"Males ages 14–18 were at marked susceptibility, with 11/100000 individuals per 100,000 developing myocarditis.",1,1,11/100000,,,,,,,marked susceptibility,,,,,,males ages 14–18,,,,Risk of myocarditis per 100000 males ages 14–18
"Male Persons ages 17–19 were at peak risk, with 3/100000 individuals per 100,000 developing myocarditis.",1,1,3/100000,,,,,,,peak risk,,,,,,males ages 17–19,,,,Risk of myocarditis per 100000 males ages 17–19
"Males People 15–20 were at pronounced risk, with 12/100000 individuals per 100,000 developing myocarditis.",1,1,12/100000,,,,,,,pronounced risk,,,,,,males ages 15–20,,,,Risk of myocarditis per 100000 males ages 15–20
"In a Hadassah Medical Study, scientists found that the risk of developing myocarditis among males ages 15–18 was about 1/14000 after a third dose of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/14000,,,,,,,,,,,,,males ages 15–18 after a third dose of Pfizer-BioNTech vaccine,,Hadassah Medical Study,,Risk of myocarditis per 14000 males ages 15–18 after a third dose
"In a Jerusalem COVID Vaccine Study, scientists found that the risk of developing myocarditis among males ages 17–20 was about 1/16000 following a booster dose of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/16000,,,,,,,,,,,,,males ages 17–20 following a booster dose of Pfizer-BioNTech vaccine,,Jerusalem COVID Vaccine Study,,Risk of myocarditis per 16000 males ages 17–20 following a booster dose
"In a Pfizer Booster Effect Study, scientists found that the risk of developing myocarditis among males ages 16–19 was about 1/17000 after a second booster of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/17000,,,,,,,,,,,,,males ages 16–19 after a second booster of Pfizer-BioNTech vaccine,,Pfizer Booster Effect Study,,Risk of myocarditis per 17000 males ages 16–19 after a second booster
"In a Israel Myocarditis Report, scientists found that the risk of developing myocarditis among males ages 18–21 was about 1/13000 post third shot of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/13000,,,,,,,,,,,,,males ages 18–21 post third shot of Pfizer-BioNTech vaccine,,Israel Myocarditis Report,,Risk of myocarditis per 13000 males ages 18–21 post third shot
"In a Haifa Clinical Research Group, scientists found that the risk of developing myocarditis among males ages 14–17 was about 1/18000 following the third Pfizer dose of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/18000,,,,,,,,,,,,,males ages 14–17 following the third Pfizer dose of Pfizer-BioNTech vaccine,,Haifa Clinical Research Group,,Risk of myocarditis per 18000 males ages 14–17 following the third Pfizer dose
"In a COVID-19 Immunization Outcome Study, scientists found that the risk of developing myocarditis among males ages 16–18 was about 1/12500 after the third injection of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/12500,,,,,,,,,,,,,males ages 16–18 after the third injection of Pfizer-BioNTech vaccine,,COVID-19 Immunization Outcome Study,,Risk of myocarditis per 12500 males ages 16–18 after the third injection
"In a Vaccine Safety Study Israel, scientists found that the risk of developing myocarditis among males ages 15–19 was about 1/15500 after dose three of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/15500,,,,,,,,,,,,,males ages 15–19 after dose three of Pfizer-BioNTech vaccine,,Vaccine Safety Study Israel,,Risk of myocarditis per 15500 males ages 15–19 after dose three
"In a Tel Aviv Epidemiological Study, scientists found that the risk of developing myocarditis among males ages 17–19 was about 1/20000 following a third vaccination of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/20000,,,,,,,,,,,,,males ages 17–19 following a third vaccination of Pfizer-BioNTech vaccine,,Tel Aviv Epidemiological Study,,Risk of myocarditis per 20000 males ages 17–19 following a third vaccination
"In a Pfizer Vaccine Monitoring Group, scientists found that the risk of developing myocarditis among males ages 14–18 was about 1/14500 after the final dose in the primary series of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/14500,,,,,,,,,,,,,males ages 14–18 after the final dose in the primary series of Pfizer-BioNTech vaccine,,Pfizer Vaccine Monitoring Group,,Risk of myocarditis per 14500 males ages 14–18 after the final dose in the primary series
"In a CardioVax Analysis, scientists found that the risk of developing myocarditis among males ages 16–20 was about 1/17500 after receiving a third shot of the Pfizer-BioNTech COVID-19 vaccine.",1,1,1/17500,,,,,,,,,,,,,males ages 16–20 after receiving a third shot of Pfizer-BioNTech vaccine,,CardioVax Analysis,,Risk of myocarditis per 17500 males ages 16–20 after receiving a third shot
"The study analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of vaccinated patients in the 2021 cohort. The standardized 90-day mortality risk was 2,40% in the vaccinated group and 3,00% in the unvaccinated group.",1,0,"3,00%","2,40%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,vaccinated patients in the 2021 cohort,,,Risk of all-cause mortality within 90 days in %
"The study analyzed the  two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of patients vaccinated in 2022. The standardized 90-day mortality risk was 2,30% in the vaccinated group and 2,90% in the unvaccinated group.",1,0,"2,90%","2,30%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,patients vaccinated in 2022,,,Risk of all-cause mortality within 90 days in %
"The study also analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of mRNA-1273 vaccinated individuals. The standardized 90-day mortality risk was 2,20% in the vaccinated group and 2,70% in the unvaccinated group.",1,0,"2,70%","2,20%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,mRNA-1273 vaccinated individuals,,,Risk of all-cause mortality within 90 days in %
"The study analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of BNT162b2 vaccinated participants. The standardized the 90-day mortality risk was 2,10% in the vaccinated group and 2,80% in the unvaccinated group.",1,0,"2,80%","2,10%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,BNT162b2 vaccinated participants,,,Risk of all-cause mortality within 90 days in %
"The study also analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of heart failure patients with recent mRNA vaccination. The standardized 90-day mortality risk was 2,00% in the vaccinated group and 3,10% in the unvaccinated group.",1,0,"3,10%","2,00%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,heart failure patients with recent mRNA vaccination,,,Risk of all-cause mortality within 90 days in %
"The study analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of patients receiving the mRNA booster. The standardized 90-day mortality risk was 2,15% in the vaccinated group and 2,85% in the unvaccinated group.",1,0,"2,85%","2,15%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,patients receiving the mRNA booster,,,Risk of all-cause mortality within 90 days in %
"The study analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of vaccinated group under mRNA-1273 protocol. The standardized 90-day mortality risk was 2,05% in the vaccinated group and 2,75% in the unvaccinated group.",1,0,"2,75%","2,05%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,vaccinated group under mRNA-1273 protocol,,,Risk of all-cause mortality within 90 days in %
"The study analyzed two matched groups of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of vaccinated patients using BNT162b2. The standardized 90-day mortality risk was 2,25% in the vaccinated group and 2,95% in the unvaccinated group.",1,0,"2,95%","2,25%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,vaccinated patients using BNT162b2,,,Risk of all-cause mortality within 90 days in %
"The study analysed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of heart failure patients with mRNA-1273. The standardized 90-day mortality risk was 2,35% in the vaccinated group and 3,05% in the unvaccinated group.",1,0,"3,05%","2,35%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,heart failure patients with mRNA-1273,,,Risk of all-cause mortality within 90 days in %
"The study also analyzed two matched cohorts of 50,893 patients with heart failure. One group was unvaccinated, while the other consisted of recently vaccinated individuals. The standardized 90-day mortality risk was 2,10% in the vaccinated group and 3,20% in the unvaccinated group.",1,0,"3,20%","2,10%",,,,,,,,,,50893,50893,unvaccinated patients with heart failure,recently vaccinated individuals,,,Risk of all-cause mortality within 90 days in %
"The risk of dementia in older adults was 4,30% in the two years after COVID compared with 3,10% in those with older adults with seasonal influenza.",1,0,"3,10%","4,30%",,,,,,,,,,,,older adults with seasonal influenza,older adults who had COVID-19,,,Risk of dementia in older adults over two years in %
"Risk of dementia in older adults was 4,60% in the two years after COVID compared with 3,00% in those with older adults with bronchitis.",1,0,"3,00%","4,60%",,,,,,,,,,,,older adults with bronchitis,older adults following COVID-19 infection,,,Risk of dementia in older adults over two years in %
"The risk of dementia in older adults was around 4,20% in the two years after COVID compared with 3,50% in those with older adults with RSV infection.",1,0,"3,50%","4,20%",,,,,,,,,,,,older adults with RSV infection,older adults two years after COVID,,,Risk of dementia in older adults over two years in %
"The risk of dementia in older adults was also 4,80% in the two years after COVID compared with 2,90% in those with older adults with other non-COVID infections.",1,0,"2,90%","4,80%",,,,,,,,,,,,older adults with other non-COVID infections,older adults diagnosed with COVID-19,,,Risk of dementia in older adults over two years in %
"The risk of dementia in older adults was approximately 4,10% in the two years after COVID compared with 3,20% in those with older adults with pneumonia.",1,0,"3,20%","4,10%",,,,,,,,,,,,older adults with pneumonia,older adults after SARS-CoV-2 infection,,,Risk of dementia in older adults over two years in %
"The risk of dementia in older adults was around 4,90% in the two years after COVID compared with 3,40% in those with older adults with viral respiratory illness.",1,0,"3,40%","4,90%",,,,,,,,,,,,older adults with viral respiratory illness,older adults infected with COVID-19,,,Risk of dementia in older adults over two years in %
"Risk of dementia in older adults was 4,35% in the two years after COVID compared with 3,25% in those with older adults with a mild respiratory infection.",1,0,"3,25%","4,35%",,,,,,,,,,,,older adults with a mild respiratory infection,older adults who experienced COVID,,,Risk of dementia in older adults over two years in %
"The risk of dementia in older adults was 4,55% in the two years after COVID compared with 3,15% in those with older adults with a cold-like virus.",1,0,"3,15%","4,55%",,,,,,,,,,,,older adults with a cold-like virus,older adults recovering from COVID-19,,,Risk of dementia in older adults over two years in %
"The risk of dementia in the group of older adults was 4,25% in the two years after COVID compared with 3,60% in those with older adults with a non-COVID illness.",1,0,"3,60%","4,25%",,,,,,,,,,,,older adults with a non-COVID illness,older adults post COVID-19 exposure,,,Risk of dementia in older adults over two years in %
"Risk of dementia in older adults was 4,65% in the two years after COVID compared with 3,45% in those with older adults with upper respiratory infection.",1,0,"3,45%","4,65%",,,,,,,,,,,,older adults with upper respiratory infection,older adults who contracted COVID-19,,,Risk of dementia in older adults over two years in %
Studies have estimated that between 22% and 60% of people infected with SARS-CoV-2 may not experience symptoms.,1,1,22%,,,,,,,,,,,,,people infected with SARS-CoV-2,,studies,,Proportion of infected people who not experiencing symptoms in %
Research suggests that between 25% and 70% of people infected with SARS-CoV-2 show no signs of illness.,1,1,25%,,,,,,,,,,,,,people infected with SARS-CoV-2,,,,Proportion of infected people who not experiencing symptoms in %
